Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,Tkl,xG,xAG,SCA,GCA,SoTA,GA,Saves,Save%,CS,is_goalkeeper,Wins,Draws,Losses,Player_ID
5038.0,12.0,14.0,2.0,97.0,33.0,14.0,1.0,35.0,89.0,5.2,5.0,216.0,31.0,0.0,0.0,0.0,0.0,0.0,0,45.0,12.0,1.0,151
3679.0,26.0,11.0,3.0,126.0,58.0,12.0,0.0,4.0,30.0,18.3,8.2,126.0,16.0,0.0,0.0,0.0,0.0,0.0,0,32.0,13.0,3.0,146
4386.0,27.0,15.0,1.0,100.0,50.0,12.0,1.0,36.0,70.0,14.6,8.2,157.0,22.0,0.0,0.0,0.0,0.0,0.0,0,34.0,14.0,3.0,155
4193.0,7.0,8.0,0.0,34.0,15.0,12.0,1.0,41.0,74.0,2.9,4.2,70.0,8.0,0.0,0.0,0.0,0.0,0.0,0,41.0,10.0,1.0,156
4347.0,45.0,6.0,9.0,179.0,82.0,1.0,0.0,2.0,11.0,36.2,5.4,77.0,13.0,0.0,0.0,0.0,0.0,0.0,0,35.0,11.0,7.0,142
4717.0,52.0,18.0,13.0,232.0,110.0,8.0,0.0,10.0,6.0,31.0,10.2,166.0,21.0,0.0,0.0,0.0,0.0,0.0,0,37.0,14.0,8.0,115
4045.0,34.0,4.0,4.0,163.0,67.0,9.0,0.0,26.0,29.0,25.6,4.2,116.0,19.0,0.0,0.0,0.0,0.0,0.0,0,45.0,7.0,5.0,157
3609.0,9.0,12.0,0.0,103.0,33.0,6.0,0.0,29.0,75.0,8.4,9.9,158.0,23.0,0.0,0.0,0.0,0.0,0.0,0,41.0,9.0,11.0,158
3789.0,1.0,12.0,0.0,45.0,19.0,6.0,0.0,36.0,79.0,2.1,7.5,179.0,17.0,0.0,0.0,0.0,0.0,0.0,0,41.0,12.0,2.0,99
4759.0,51.0,13.0,9.0,192.0,81.0,4.0,0.0,10.0,24.0,39.2,8.0,120.0,18.0,0.0,0.0,0.0,0.0,0.0,0,35.0,10.0,11.0,117
5102.0,27.0,13.0,0.0,164.0,69.0,4.0,0.0,20.0,35.0,13.9,11.0,194.0,31.0,0.0,0.0,0.0,0.0,0.0,0,41.0,16.0,7.0,159
4268.0,20.0,21.0,2.0,107.0,51.0,7.0,0.0,15.0,35.0,11.9,10.9,233.0,29.0,0.0,0.0,0.0,0.0,0.0,0,47.0,12.0,4.0,160
1994.0,11.0,6.0,1.0,74.0,23.0,1.0,0.0,14.0,32.0,5.1,6.6,83.0,11.0,0.0,0.0,0.0,0.0,0.0,0,19.0,5.0,6.0,161
3758.0,22.0,12.0,0.0,108.0,39.0,6.0,0.0,13.0,28.0,11.9,6.3,132.0,17.0,0.0,0.0,0.0,0.0,0.0,0,28.0,14.0,17.0,162
3331.0,10.0,21.0,0.0,87.0,28.0,7.0,1.0,3.0,32.0,6.8,6.6,137.0,26.0,0.0,0.0,0.0,0.0,0.0,0,29.0,10.0,7.0,163
