Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,Tkl,xG,xAG,SCA,GCA,SoTA,GA,Saves,Save%,CS,is_goalkeeper
2018,Luka Modrić,30-13-10,"4,168",5,9,2,48,12.0,5,0,50,53,3.4,5.8,153.0,17.0,0.0,0.0,0.0,0.0,0.0,0
2018,Cristiano Ronaldo,33-12-8,"4,392",52,11,9,272,108.0,8,1,9,12,42.8,8.8,162.0,29.0,0.0,0.0,0.0,0.0,0.0,0
2018,Antoine Griezmann,37-18-9,"4,853",35,16,6,126,63.0,9,1,21,54,23.1,9.8,153.0,27.0,0.0,0.0,0.0,0.0,0.0,0
2018,Kylian Mbappé,44-9-8,"4,561",28,20,0,110,52.0,4,1,7,18,20.3,11.5,153.0,26.0,0.0,0.0,0.0,0.0,0.0,0
2018,Lionel Messi,42-16-6,"5,373",52,21,4,254,120.0,8,0,11,31,33.3,17.4,341.0,54.0,0.0,0.0,0.0,0.0,0.0,0
2018,Mohamed Salah,31-15-12,"4,628",50,14,3,200,91.0,2,0,12,20,32.8,12.7,227.0,50.0,0.0,0.0,0.0,0.0,0.0,0
2018,Raphaël Varane,31-13-7,"4,429",0,2,0,19,2.0,4,0,49,41,1.9,0.6,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0
2018,Eden Hazard,36-14-13,"4,540",24,16,6,110,49.0,3,0,9,9,12.7,10.2,264.0,28.0,0.0,0.0,0.0,0.0,0.0,0
2018,Kevin De Bruyne,52-7-5,"5,073",13,25,0,131,49.0,8,0,45,78,6.2,15.0,262.0,45.0,0.0,0.0,0.0,0.0,0.0,0
2018,Harry Kane,35-12-8,"4,526",51,5,6,238,97.0,5,0,9,19,31.7,4.8,158.0,19.0,0.0,0.0,0.0,0.0,0.0,0
2018,N'Golo Kanté,33-15-11,"5,110",1,2,0,32,5.0,4,0,135,146,1.0,3.1,112.0,8.0,0.0,0.0,0.0,0.0,0.0,0
2018,Neymar,33-5-3,"3,598",32,20,6,130,58.0,14,1,6,34,21.2,15.7,257.0,49.0,0.0,0.0,0.0,0.0,0.0,0
2018,Luis Suárez,42-13-5,"5,236",36,19,2,164,72.0,14,0,13,21,29.4,12.2,176.0,27.0,0.0,0.0,0.0,0.0,0.0,0
2018,Paul Pogba,29-8-10,"3,628",7,13,0,102,26.0,8,1,30,45,7.9,6.3,129.0,23.0,0.0,0.0,0.0,0.0,0.0,0
2019,Lionel Messi,38-12-6,"4,524",54,19,6,262,124.0,3,0,8,27,31.9,20.3,339.0,48.0,0.0,0.0,0.0,0.0,0.0,0
2019,Virgil van Dijk,43-8-8,"5,304",9,4,0,44,14.0,5,0,53,50,5.2,1.7,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0
2019,Cristiano Ronaldo,32-9-6,"3,944",31,10,6,235,81.0,4,1,10,13,27.1,7.8,187.0,18.0,0.0,0.0,0.0,0.0,0.0,0
2019,Sadio Mané,40-9-7,"4,758",27,4,0,115,51.0,4,0,20,55,23.2,6.5,170.0,22.0,0.0,0.0,0.0,0.0,0.0,0
2019,Mohamed Salah,44-8-7,"4,901",33,13,5,200,81.0,3,0,9,32,27.3,12.7,211.0,25.0,0.0,0.0,0.0,0.0,0.0,0
