Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,TklW,SoTA,GA,Saves,Save%,CS,is_goalkeeper
1998,Zinedine Zidane,28-11-6,"3,640",10.0,1.0,0.0,,,5.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Davor Šuker,22-11-7,"2,433",17.0,0.0,6.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Ronaldo,31-7-9,"4,212",34.0,1.0,7.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Michael Owen,20-14-10,"3,524",21.0,10.0,2.0,,,5.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Rivaldo,25-7-12,"3,753",20.0,1.0,2.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Gabriel Batistuta,17-11-7,"3,127",26.0,0.0,2.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Lilian Thuram,21-14-8,"3,853",0.0,0.0,0.0,,,7.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Edgar Davids,16-10-6,"2,385",2.0,0.0,0.0,,,11.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Dennis Bergkamp,20-11-2,"2,864",19.0,13.0,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Marcel Desailly,15-11-11,"3,319",0.0,0.0,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Frank de Boer,5-4-3,"1,021",2.0,1.0,0.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Emmanuel Petit,22-10-5,"3,104",3.0,7.0,0.0,,,5.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Roberto Carlos,25-13-10,"4,297",6.0,0.0,0.0,,,11.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1998,Laurent Blanc,18-8-8,"3,090",12.0,0.0,3.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Rivaldo,27-10-9,"4,072",29.0,1.0,6.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,David Beckham,23-20-3,"3,949",8.0,11.0,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Andriy Shevchenko,7-4-3,"1,268",10.0,,0.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Gabriel Batistuta,17-6-10,"2,877",22.0,0.0,0.0,,,4.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Luís Figo,24-9-7,"3,526",8.0,,0.0,,,16.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Roy Keane,25-19-3,"3,956",5.0,0.0,0.0,,,11.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Christian Vieri,14-7-2,"2,002",12.0,0.0,0.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Juan Sebastián Verón,18-10-9,"3,015",1.0,1.0,0.0,,,9.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Raúl,25-6-14,"3,922",28.0,,4.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Lothar Matthäus,24-8-6,"3,036",2.0,0.0,0.0,,,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Dwight Yorke,25-17-2,"3,795",26.0,11.0,0.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Jaap Stam,25-18-3,"3,992",1.0,1.0,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Siniša Mihajlović,19-8-3,"2,644",8.0,,1.0,,,9.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Zlatko Zahovič,2-1-3,509,7.0,,0.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
1999,Pavel Nedvěd,11-7-3,"1,594",1.0,,0.0,,,4.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Luís Figo,29-9-11,"4,216",15.0,,1.0,,,17.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Zinedine Zidane,26-8-6,"3,305",6.0,,1.0,,,5.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Andriy Shevchenko,16-16-6,"3,131",25.0,,8.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Thierry Henry,27-11-9,"3,258",28.0,8.0,2.0,,,7.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Alessandro Nesta,27-11-4,"3,582",0.0,,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Rivaldo,26-6-13,"3,714",22.0,,3.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Gabriel Batistuta,16-14-11,"3,470",29.0,,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Gaizka Mendieta,27-11-15,"4,279",20.0,,11.0,,,7.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Raúl,24-16-13,"4,595",28.0,,3.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Paolo Maldini,18-13-7,"3,340",1.0,,0.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,David Beckham,30-8-8,"3,949",8.0,15.0,0.0,,,12.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Zlatko Zahovič,2-3-4,789,5.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2000,Francesco Totti,17-11-8,"2,980",10.0,,5.0,,,9.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Michael Owen,21-10-8,"2,555",20.0,3.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Raúl,29-10-9,"4,106",31.0,,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,David Beckham,24-12-7,"3,633",9.0,12.0,1.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Francesco Totti,21-9-4,"2,869",15.0,,4.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Luís Figo,31-9-8,"4,156",14.0,,4.0,,,16.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Rivaldo,22-15-11,"4,112",34.0,,7.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Andriy Shevchenko,18-19-11,"4,224",33.0,,8.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Thierry Henry,27-13-10,"3,896",21.0,9.0,1.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Zinedine Zidane,22-12-4,"3,150",6.0,,1.0,,,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
